product_name,sku,state,type,display_on_ui,description,council,provider_name,provider_id,cost,retail_price,gst_option,gst_amount,fulfillment_method,status,required_data_buyer,required_data_seller
Northern Grampian Shire Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV61,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Northern Grampian Shire Council for a property in Northern Grampian Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Northern Grampian Shire,Northern Grampian Shire Council,e88c7c26-2a16-42b2-983c-bd314549f8d5,,,normal_gst_10,,Manual,active,,
Dept of Environment Land Water & Planning - Agricultural Licensing - Agricultural Licences Certificate,VICGOVAGRICULTURALLICENSINGAGRICULTURAV62,VIC,State_government,true,"Order the Agricultural Licensing - Agricultural Licences Certificate from Dept of Environment Land Water & Planning for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,Dept of Environment Land Water & Planning,7947e9cd-6636-4d14-8bff-ed1f4fdd142b,,,normal_gst_10,,Manual,active,,
Dept of Environment Land Water & Planning - Catchment & Land Protection - Section 90 Certificate,VICGOVCATCHMENTANDLANDPROTECTIONSECTIOV62,VIC,State_government,true,"Order the Catchment & Land Protection - Section 90 Certificate from Dept of Environment Land Water & Planning for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,Dept of Environment Land Water & Planning,7947e9cd-6636-4d14-8bff-ed1f4fdd142b,,,normal_gst_10,,Manual,active,,
Dept of Primary Industries - Mines Subsidence Hazard Search,VICGOVMINESSUBSIDENCEHAZARDSRCHV63,VIC,State_government,true,"Order the Mines Subsidence Hazard Search from Dept of Primary Industries for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,Dept of Primary Industries,1bbebb9d-24f4-42e0-86b6-6f0a72a6f82a,,,normal_gst_10,,Manual,active,,
Port Phillip City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV64,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Port Phillip City Council for a property in Port Phillip City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Port Phillip City,Port Phillip City Council,5dcf5a61-4da5-4e05-a866-64f434844969,,,normal_gst_10,,Manual,active,,
Pyrenees Shire Council - Council Land Information Certificate,VICLGALANDINFOV65,VIC,LGA,true,"Order the Council Land Information Certificate from Pyrenees Shire Council for a property in Pyrenees Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Pyrenees Shire,Pyrenees Shire Council,6619b304-d386-4579-953f-6a9f05f72d5e,,,normal_gst_10,,Manual,active,,
Borough of Queenscliffe City Council - Council Land Information Certificate,VICLGALANDINFOV66,VIC,LGA,true,"Order the Council Land Information Certificate from Borough of Queenscliffe City Council for a property in Borough of Queenscliffe. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Borough of Queenscliffe,Borough of Queenscliffe City Council,f79d477e-c063-43b5-a01c-8925ec753e8f,,,normal_gst_10,,Manual,active,,
South East Water - Water Authority Property Services Plan,VICUTILITYWATERPROPPLANV67,VIC,Utility,true,"Order the Water Authority Property Services Plan from South East Water for a property in South East. The plan provides available water and sewer service or asset information associated with the property for due diligence, planning or building work.",South East,South East Water,a82e0edc-6cc9-4594-894e-c2f26545f6ed,,,normal_gst_10,,Manual,active,,
South East Water - Water Information Statement,VICUTILITYWATERINFOV67,VIC,Utility,true,"Order the Water Information Statement from South East Water for a property in South East. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",South East,South East Water,a82e0edc-6cc9-4594-894e-c2f26545f6ed,,,normal_gst_10,,Manual,active,,
South Gippsland Shire Council - Council Land Information Certificate,VICLGALANDINFOV68,VIC,LGA,true,"Order the Council Land Information Certificate from South Gippsland Shire Council for a property in South Gippsland Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",South Gippsland Shire,South Gippsland Shire Council,8665bdc0-ccae-42fe-b543-9d03d8f5d9fc,,,normal_gst_10,,Manual,active,,
South Gippsland Region Water - Water Information Statement,VICUTILITYWATERINFOV69,VIC,Utility,true,"Order the Water Information Statement from South Gippsland Region Water for a property in South Gippsland Region. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",South Gippsland Region,South Gippsland Region Water,a205f854-24a1-4c97-819b-ab26d59e545e,,,normal_gst_10,,Manual,active,,
Southern Grampians Shire Council - Council Land Information Certificate,VICLGALANDINFOV70,VIC,LGA,true,"Order the Council Land Information Certificate from Southern Grampians Shire Council for a property in Southern Grampians Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Southern Grampians Shire,Southern Grampians Shire Council,c1180d5f-c98f-427b-876e-f5b1e3dc89d4,,,normal_gst_10,,Manual,active,,
Southern Rural Water - Water Information Statement,VICUTILITYWATERINFOV71,VIC,Utility,true,"Order the Water Information Statement from Southern Rural Water for a property in Southern Rural. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Southern Rural,Southern Rural Water,7e35a53e-b6f7-446a-a6fa-f91b5f2a1940,,,normal_gst_10,,Manual,active,,
State Revenue Office - Property Clearance Certificate,VICGOVPROPCLEARANCECERTV72,VIC,State_government,true,"Order the Property Clearance Certificate from State Revenue Office for a Victorian property. This Victorian government or registry product supplies the property, land, title, planning or statutory information stated in the product name.",ALL,State Revenue Office,537acb57-63fa-4a34-8b87-662ab6df1f4c,,,normal_gst_10,,Manual,active,,
Stonnington City Council - Council Land Information Certificate - Standard Service,VICLGALANDINFOSTDV73,VIC,LGA,true,"Order the Council Land Information Certificate - Standard Service from Stonnington City Council for a property in Stonnington City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders. This is the standard service option.",Stonnington City,Stonnington City Council,cb590fb2-5d07-4fcf-9b21-e74aeb1599d2,,,normal_gst_10,,Manual,active,,
Strathbogie Shire Council - Council Land Information Certificate,VICLGALANDINFOV74,VIC,LGA,true,"Order the Council Land Information Certificate from Strathbogie Shire Council for a property in Strathbogie Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Strathbogie Shire,Strathbogie Shire Council,2d9c250a-57a6-489d-9f9b-17b81f051cb4,,,normal_gst_10,,Manual,active,,
Lower Murray Urban & Rural Water Authority (Rural) - Water Information Statement,VICUTILITYWATERINFOV75,VIC,Utility,true,"Order the Water Information Statement from Lower Murray Urban & Rural Water Authority (Rural) for a property in Lower Murray Rural. The statement provides available property water-account and service information, which may include rates and charges, water and sewer assets, tariffs, notices and encumbrances.",Lower Murray Rural,Lower Murray Urban & Rural Water Authority (Rural),0200dfd5-742b-460e-97c5-f0dc888db2c6,,,normal_gst_10,,Manual,active,,
Surf Coast Shire Council - Council Land Information Certificate,VICLGALANDINFOV76,VIC,LGA,true,"Order the Council Land Information Certificate from Surf Coast Shire Council for a property in Surf Coast Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Surf Coast Shire,Surf Coast Shire Council,04ed026c-3b31-4ba9-890c-49cf4b55b948,,,normal_gst_10,,Manual,active,,
Swan Hill Rural City Council - Council Land Information Certificate,VICLGALANDINFOV77,VIC,LGA,true,"Order the Council Land Information Certificate from Swan Hill Rural City Council for a property in Swan Hill Rural City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Swan Hill Rural City,Swan Hill Rural City Council,e3907a3b-fc85-4fd4-bfc9-c3539c835461,,,normal_gst_10,,Manual,active,,
Towong Shire Council - Council Land Information Certificate,VICLGALANDINFOV78,VIC,LGA,true,"Order the Council Land Information Certificate from Towong Shire Council for a property in Towong Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Towong Shire,Towong Shire Council,93680367-dce1-4cb0-9b7c-d92c01644233,,,normal_gst_10,,Manual,active,,
Wangaratta Shire Council - Council Land Information Certificate,VICLGALANDINFOV79,VIC,LGA,true,"Order the Council Land Information Certificate from Wangaratta Shire Council for a property in Wangaratta Shire. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Wangaratta Shire,Wangaratta Shire Council,f3495b41-398f-4c34-bf1f-58d2edf167d9,,,normal_gst_10,,Manual,active,,
Warrnambool City Council - Council Land Information Certificate,VICLGALANDINFOV80,VIC,LGA,true,"Order the Council Land Information Certificate from Warrnambool City Council for a property in Warrnambool City. It provides council information on the property's valuation, rates, charges, money owing, and applicable council notices or orders.",Warrnambool City,Warrnambool City Council,88d0ca18-fe6d-4d3e-a1d3-8ab13b2db0d8,,,normal_gst_10,,Manual,active,,
